Bulan,Kecamatan,Pengguna_Aktif,Domisili_Usage(%),Pajak_Usage(%),Keluhan_Usage(%),Chatbot_Usage(%),Rating_Domisili,Rating_Pajak,Rating_Keluhan,Rating_Chatbot
Februari,Kecamatan Timur,2806,36.5,20.4,29.1,14,4.2,4,3.2,3
April,Kecamatan Selatan,1152,38,15.9,20.2,25.9,4.4,4,3.6,2.5
April,Kecamatan Timur,2895,32.8,18.1,28.7,20.5,4.5,4.3,3.8,2.4
Juni,Kecamatan Tengah,2395,33.4,22.1,27.9,16.6,4.3,4.1,3.4,3
Mei,Kecamatan Utara,2467,36.2,15.7,21.6,26.4,4.8,4.4,3.2,2
Februari,Kecamatan Utara,2517,36.4,21.5,21.9,20.2,4.4,4,3.4,2.8
April,Kecamatan Selatan,1168,30.2,23.8,27.3,18.7,4.3,4,3.1,3
April,Kecamatan Utara,2103,31.8,18.5,21.2,28.5,4.5,4,3.2,2.8
April,Kecamatan Tengah,1327,30.2,24.3,21.9,23.6,4.3,4.1,3.6,3.1
Maret,Kecamatan Selatan,3443,31.3,24.2,22.9,21.6,4.8,4.4,3.7,2.2
April,Kecamatan Tengah,3337,31,15.1,21.4,32.5,4,4.5,3.1,2.5
April,Kecamatan Timur,1435,37.7,20.4,27,14.8,4.7,4.2,3.7,2.7
Juni,Kecamatan Timur,3121,30.3,24.3,21.1,24.3,4.4,4.4,3.2,3.1
Maret,Kecamatan Selatan,1007,39.4,18,26.8,15.8,4.1,4.3,3.6,3.1
Juni,Kecamatan Tengah,3259,37.2,15.2,20.1,27.5,4.5,4,4,2.5
Januari,Kecamatan Utara,1658,32.2,20.8,26.6,20.4,4.3,4.1,3,2.8
Januari,Kecamatan Selatan,2990,38.5,22.2,22.6,16.7,4.2,4.5,3.2,2.1
Mei,Kecamatan Tengah,1610,32.8,24.7,20.3,22.2,4.4,4.5,3.8,3
Mei,Kecamatan Utara,1410,33.8,18.6,28.4,19.1,4.6,3.9,3,2.3
April,Kecamatan Barat,1706,33.7,21.1,21.6,23.5,4.7,3.8,3.5,2.1
Juni,Kecamatan Selatan,1653,32.4,19.8,22.7,25,4.4,4.3,3.4,2.7
Maret,Kecamatan Barat,2550,32.7,20,22.7,24.7,4.4,4.3,3.4,2.9
Juni,Kecamatan Barat,1042,39.4,24.2,27.1,9.4,4.4,4.1,3.2,2.6
Februari,Kecamatan Utara,2720,30.4,22.5,25.8,21.3,4.3,4.2,3.1,2.6
Mei,Kecamatan Tengah,1588,37.2,24.9,27.8,10.1,4.6,4.4,3.3,2.1
Maret,Kecamatan Tengah,1517,33.7,23.8,21.9,20.6,4.3,4,3.8,3.1
Maret,Kecamatan Barat,2669,33.1,15.8,24.9,26.2,4.4,3.8,3.5,2.7
Mei,Kecamatan Selatan,2219,38.5,22.7,20.7,18.1,4.8,4.1,3.2,2.6
Januari,Kecamatan Utara,1719,34.2,17.1,23.6,25.1,4.3,4.1,3.6,3
Februari,Kecamatan Timur,2421,35.4,17.7,24.3,22.6,4.7,4,3.3,3
Februari,Kecamatan Selatan,2905,39,17.7,20.6,22.6,4.1,4.3,3.6,2.3
Januari,Kecamatan Barat,1194,38.9,17.1,28.7,15.4,4.6,4.3,3.2,2.7
Februari,Kecamatan Barat,3024,35.5,21.4,23.5,19.6,4.8,4.1,3.9,2.6
Februari,Kecamatan Timur,3268,31.3,16.4,23.4,28.9,4,4.2,3.9,3
Januari,Kecamatan Timur,1212,32.4,19.3,28.4,19.9,4.6,4.1,3.9,2.4
Januari,Kecamatan Barat,2775,34.2,24.9,21.4,19.4,4.6,3.9,3.6,2.1
Juni,Kecamatan Barat,2007,30.7,16.1,24.8,28.4,4.6,4.1,3.6,2.7
Februari,Kecamatan Tengah,2177,36.8,24.9,22.8,15.5,4.6,4.1,3.9,2.9
Juni,Kecamatan Barat,2266,33.5,21.5,20.3,24.7,4.2,4.4,3.6,3
Januari,Kecamatan Timur,3066,39.3,17.9,24.3,18.5,4.4,3.9,3.8,2.6
Juni,Kecamatan Utara,2795,39.2,15.7,24.4,20.7,4.1,3.8,3,3.1
Januari,Kecamatan Tengah,2242,35.4,22.9,24.3,17.3,4.1,4.4,3.1,2.7
